map_file=den520d.map
agents=300
seed=0
random_problem=0
max_timestep=5000
max_comp_time=300000
97,210,102,157
150,161,172,40
231,67,150,114
94,202,163,82
94,155,176,83
127,159,137,156
234,59,139,229
169,122,79,176
232,87,195,70
144,46,72,142
189,40,235,12
160,48,63,57
166,32,112,103
218,99,139,211
181,121,230,185
95,203,156,93
67,142,163,136
170,19,101,97
117,107,90,106
80,188,236,56
210,66,14,209
85,189,190,71
43,163,211,55
15,203,82,145
204,43,243,12
15,143,178,113
146,202,218,212
244,102,124,172
155,43,110,175
225,122,126,93
48,87,54,73
79,190,86,98
81,221,211,60
155,102,164,165
82,152,88,155
28,146,110,220
114,222,93,143
92,230,125,98
178,75,189,53
176,183,79,95
170,41,136,8
146,222,111,86
160,105,232,101
189,36,83,45
241,25,117,159
223,62,114,112
64,159,238,125
68,168,57,68
88,196,209,63
167,27,246,21
173,90,243,97
139,154,49,43
45,82,79,35
51,53,148,148
154,151,103,219
138,20,72,176
195,176,179,24
55,64,51,60
191,54,244,24
88,44,218,126
76,143,115,169
147,22,123,162
132,104,164,109
235,193,199,55
241,193,82,200
230,220,193,55
10,169,60,45
212,45,10,207
127,101,170,159
178,112,66,151
32,73,164,137
112,167,162,23
145,22,69,171
157,147,39,161
245,6,160,95
61,149,241,39
129,61,48,148
190,158,231,193
192,164,176,59
242,130,165,93
200,84,226,98
150,111,108,84
112,169,34,141
102,107,79,88
124,59,86,44
90,178,104,163
99,93,95,174
223,202,246,198
79,146,169,102
215,68,217,192
160,96,145,17
57,66,21,154
240,35,106,150
138,10,196,66
172,151,80,55
203,195,20,156
112,214,185,126
108,37,67,224
64,147,137,179
185,139,118,156
237,216,158,18
163,112,226,176
78,180,174,32
89,181,171,132
163,35,145,212
99,186,29,174
20,214,242,103
137,42,54,154
130,65,92,210
65,68,103,104
168,89,202,63
30,144,115,84
82,101,100,85
151,90,24,183
183,91,217,44
9,155,159,34
65,39,133,102
110,165,125,106
37,168,165,151
201,199,67,195
130,155,85,162
228,112,115,36
39,149,90,200
58,160,49,138
88,148,239,194
27,156,175,142
210,209,109,165
246,42,226,75
140,39,126,164
174,117,166,30
207,180,92,34
218,58,148,147
240,68,122,216
12,144,244,15
74,52,179,94
151,178,100,173
33,140,125,213
58,155,45,148
183,59,90,83
219,88,250,24
147,106,139,97
184,160,181,20
63,166,167,145
197,198,204,89
65,226,69,208
69,158,197,43
36,141,7,191
88,160,84,184
195,80,209,57
13,152,224,120
110,214,16,176
75,92,173,180
130,20,139,41
145,213,203,189
83,231,111,46
13,175,102,113
166,98,56,157
239,206,75,194
100,231,83,200
134,165,157,162
181,100,14,160
160,32,173,111
105,53,233,185
174,24,105,112
167,135,160,88
212,66,115,80
92,186,7,163
234,84,243,117
161,54,155,98
64,91,177,33
81,154,12,179
248,139,49,59
98,187,193,63
137,227,16,189
175,106,14,75
14,168,131,107
57,64,173,170
13,209,141,223
81,46,233,123
184,38,242,27
79,155,66,164
64,136,117,220
133,225,74,182
148,144,15,146
67,63,112,105
91,204,246,30
232,43,94,51
157,122,63,36
58,40,239,212
94,144,182,133
58,42,138,25
108,222,156,150
241,38,141,94
141,111,227,130
21,73,93,59
163,136,158,50
112,168,102,218
60,95,187,72
170,61,97,175
164,161,112,216
214,122,21,177
142,221,24,162
214,41,198,58
185,176,202,182
235,48,250,28
215,85,234,33
85,57,171,19
145,42,41,154
125,28,74,212
77,222,211,187
166,159,186,151
186,36,46,139
139,30,207,199
74,205,17,174
206,89,64,91
158,89,180,121
216,132,44,137
152,181,100,169
214,205,104,82
107,97,234,85
216,121,132,169
234,105,35,75
86,93,206,204
190,59,237,102
224,212,149,21
223,207,140,158
237,96,137,226
178,187,15,177
123,225,182,112
183,141,204,38
70,47,180,113
94,59,183,31
99,89,210,211
79,150,29,145
98,222,243,60
106,82,228,123
139,99,120,51
122,95,172,173
56,76,87,104
238,78,234,207
164,146,219,213
10,177,12,192
185,37,24,159
14,138,179,120
220,75,116,46
102,35,228,222
220,91,15,183
170,88,23,72
165,63,115,159
23,143,88,35
170,29,147,29
218,64,213,79
221,56,167,158
170,56,76,208
92,57,156,142
40,80,172,167
52,149,91,148
202,38,183,119
61,176,57,49
65,175,142,154
196,178,70,32
134,215,165,107
123,94,126,33
168,121,240,2
71,146,191,76
195,36,34,158
124,61,57,173
196,179,18,168
209,213,199,65
114,47,227,194
107,167,93,171
52,73,163,87
102,40,57,72
190,42,110,225
122,93,70,152
52,84,185,58
102,109,136,50
32,187,182,50
79,224,243,40
99,106,89,48
237,8,138,149
129,222,32,74
225,118,185,73
221,59,214,39
47,173,63,159
151,212,108,164
117,101,85,80
72,59,207,86
209,199,76,46
127,72,139,30
204,75,85,100
96,160,16,147
79,44,7,161
130,57,72,34
35,161,67,56
153,94,89,223
183,153,57,154
224,93,172,152
70,51,158,152
150,147,220,104
